0 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=00 wr2=00 q1=00 q2=00 | rom=00 tick=0 tx_state=000
10000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=01 wr2=00 q1=00 q2=00 | rom=80 tick=0 tx_state=000
30000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=02 wr2=00 q1=00 q2=00 | rom=83 tick=0 tx_state=000
50000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=03 wr2=00 q1=00 q2=00 | rom=86 tick=0 tx_state=000
70000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=04 wr2=00 q1=00 q2=00 | rom=89 tick=1 tx_state=000
90000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=05 wr2=00 q1=00 q2=00 | rom=8c tick=0 tx_state=000
110000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=06 wr2=00 q1=00 q2=00 | rom=8f tick=0 tx_state=000
130000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=07 wr2=00 q1=00 q2=00 | rom=92 tick=0 tx_state=000
150000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=08 wr2=00 q1=00 q2=00 | rom=95 tick=1 tx_state=000
170000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=09 wr2=00 q1=00 q2=00 | rom=98 tick=0 tx_state=000
190000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=0a wr2=00 q1=00 q2=00 | rom=9b tick=0 tx_state=000
210000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=0b wr2=00 q1=00 q2=00 | rom=9e tick=0 tx_state=000
230000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=0c wr2=00 q1=00 q2=00 | rom=a2 tick=1 tx_state=000
250000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=0d wr2=00 q1=00 q2=00 | rom=a5 tick=0 tx_state=000
270000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=0e wr2=00 q1=00 q2=00 | rom=a7 tick=0 tx_state=000
290000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=0f wr2=00 q1=00 q2=00 | rom=aa tick=0 tx_state=000
310000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=10 wr2=00 q1=00 q2=00 | rom=ad tick=1 tx_state=000
330000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=11 wr2=00 q1=00 q2=00 | rom=b0 tick=0 tx_state=000
350000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=12 wr2=00 q1=00 q2=00 | rom=b3 tick=0 tx_state=000
370000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=13 wr2=00 q1=00 q2=00 | rom=b6 tick=0 tx_state=000
390000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=14 wr2=00 q1=00 q2=00 | rom=b9 tick=1 tx_state=000
410000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=15 wr2=00 q1=00 q2=00 | rom=bc tick=0 tx_state=000
430000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=16 wr2=00 q1=00 q2=00 | rom=be tick=0 tx_state=000
450000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=17 wr2=00 q1=00 q2=00 | rom=c1 tick=0 tx_state=000
