idx | actual | ideal | delta | note
  54 | 251    | 250  | +1 | *** MISMATCH
  55 | 252    | 251  | +1 | *** MISMATCH
  56 | 253    | 252  | +1 | *** MISMATCH
  57 | 254    | 253  | +1 | *** MISMATCH
  58 | 255    | 253  | +2 | *** MISMATCH
  60 | 253    | 254  | -1 | *** MISMATCH
  61 | 252    | 254  | -2 | *** MISMATCH
  62 | 251    | 255  | -4 | *** MISMATCH
  63 | 250    | 255  | -5 | *** MISMATCH
  64 | 249    | 255  | -6 | *** MISMATCH
  65 | 248    | 255  | -7 | *** MISMATCH
  66 | 246    | 255  | -9 | *** MISMATCH
  67 | 245    | 255  | -10 | *** MISMATCH
  68 | 244    | 255  | -11 | *** MISMATCH
  69 | 243    | 254  | -11 | *** MISMATCH
  70 | 241    | 254  | -13 | *** MISMATCH
  71 | 240    | 254  | -14 | *** MISMATCH
  72 | 238    | 253  | -15 | *** MISMATCH
  73 | 237    | 253  | -16 | *** MISMATCH
  74 | 235    | 252  | -17 | *** MISMATCH
  75 | 234    | 251  | -17 | *** MISMATCH
  76 | 232    | 250  | -18 | *** MISMATCH
  77 | 230    | 250  | -20 | *** MISMATCH
  78 | 228    | 249  | -21 | *** MISMATCH
  79 | 226    | 248  | -22 | *** MISMATCH
  80 | 224    | 246  | -22 | *** MISMATCH
  81 | 222    | 245  | -23 | *** MISMATCH
  82 | 220    | 244  | -24 | *** MISMATCH
  83 | 218    | 243  | -25 | *** MISMATCH
  84 | 215    | 241  | -26 | *** MISMATCH
  85 | 213    | 240  | -27 | *** MISMATCH
  86 | 211    | 238  | -27 | *** MISMATCH
  87 | 208    | 237  | -29 | *** MISMATCH
  88 | 206    | 235  | -29 | *** MISMATCH
  89 | 203    | 234  | -31 | *** MISMATCH
  90 | 201    | 232  | -31 | *** MISMATCH
  91 | 198    | 230  | -32 | *** MISMATCH
  92 | 196    | 228  | -32 | *** MISMATCH
  93 | 193    | 226  | -33 | *** MISMATCH
  94 | 190    | 224  | -34 | *** MISMATCH
  95 | 188    | 222  | -34 | *** MISMATCH
  96 | 185    | 220  | -35 | *** MISMATCH
  97 | 182    | 218  | -36 | *** MISMATCH
  98 | 179    | 215  | -36 | *** MISMATCH
  99 | 176    | 213  | -37 | *** MISMATCH
 100 | 173    | 211  | -38 | *** MISMATCH
 101 | 170    | 208  | -38 | *** MISMATCH
 102 | 167    | 206  | -39 | *** MISMATCH
 103 | 165    | 203  | -38 | *** MISMATCH
 104 | 162    | 201  | -39 | *** MISMATCH
 105 | 158    | 198  | -40 | *** MISMATCH
 106 | 155    | 196  | -41 | *** MISMATCH
 107 | 152    | 193  | -41 | *** MISMATCH
 108 | 149    | 190  | -41 | *** MISMATCH
 109 | 146    | 188  | -42 | *** MISMATCH
 110 | 143    | 185  | -42 | *** MISMATCH
 111 | 140    | 182  | -42 | *** MISMATCH
 112 | 137    | 179  | -42 | *** MISMATCH
 113 | 134    | 176  | -42 | *** MISMATCH
 114 | 131    | 173  | -42 | *** MISMATCH
 115 | 128    | 170  | -42 | *** MISMATCH
 116 | 124    | 167  | -43 | *** MISMATCH
 117 | 121    | 165  | -44 | *** MISMATCH
 118 | 118    | 162  | -44 | *** MISMATCH
 119 | 115    | 158  | -43 | *** MISMATCH
 120 | 112    | 155  | -43 | *** MISMATCH
 121 | 109    | 152  | -43 | *** MISMATCH
 122 | 106    | 149  | -43 | *** MISMATCH
 123 | 103    | 146  | -43 | *** MISMATCH
 124 | 100    | 143  | -43 | *** MISMATCH
 125 |  97    | 140  | -43 | *** MISMATCH
 126 |  93    | 137  | -44 | *** MISMATCH
 127 |  90    | 134  | -44 | *** MISMATCH
 128 |  88    | 131  | -43 | *** MISMATCH
 129 |  85    | 128  | -43 | *** MISMATCH
 130 |  82    | 124  | -42 | *** MISMATCH
 131 |  79    | 121  | -42 | *** MISMATCH
 132 |  76    | 118  | -42 | *** MISMATCH
 133 |  73    | 115  | -42 | *** MISMATCH
 134 |  70    | 112  | -42 | *** MISMATCH
 135 |  67    | 109  | -42 | *** MISMATCH
 136 |  65    | 106  | -41 | *** MISMATCH
 137 |  62    | 103  | -41 | *** MISMATCH
 138 |  59    | 100  | -41 | *** MISMATCH
 139 |  57    |  97  | -40 | *** MISMATCH
 140 |  54    |  93  | -39 | *** MISMATCH
 141 |  52    |  90  | -38 | *** MISMATCH
 142 |  49    |  88  | -39 | *** MISMATCH
 143 |  47    |  85  | -38 | *** MISMATCH
 144 |  44    |  82  | -38 | *** MISMATCH
 145 |  42    |  79  | -37 | *** MISMATCH
 146 |  40    |  76  | -36 | *** MISMATCH
 147 |  37    |  73  | -36 | *** MISMATCH
 148 |  35    |  70  | -35 | *** MISMATCH
 149 |  33    |  67  | -34 | *** MISMATCH
 150 |  31    |  65  | -34 | *** MISMATCH
 151 |  29    |  62  | -33 | *** MISMATCH
 152 |  27    |  59  | -32 | *** MISMATCH
 153 |  25    |  57  | -32 | *** MISMATCH
 154 |  23    |  54  | -31 | *** MISMATCH
 155 |  21    |  52  | -31 | *** MISMATCH
 156 |  20    |  49  | -29 | *** MISMATCH
 157 |  18    |  47  | -29 | *** MISMATCH
 158 |  17    |  44  | -27 | *** MISMATCH
 159 |  15    |  42  | -27 | *** MISMATCH
 160 |  14    |  40  | -26 | *** MISMATCH
 161 |  12    |  37  | -25 | *** MISMATCH
 162 |  11    |  35  | -24 | *** MISMATCH
 163 |  10    |  33  | -23 | *** MISMATCH
 164 |   9    |  31  | -22 | *** MISMATCH
 165 |   7    |  29  | -22 | *** MISMATCH
 166 |   6    |  27  | -21 | *** MISMATCH
 167 |   5    |  25  | -20 | *** MISMATCH
 168 |   4    |  23  | -19 | *** MISMATCH
 169 |   3    |  21  | -18 | *** MISMATCH
 170 |   2    |  20  | -18 | *** MISMATCH
 171 |   1    |  18  | -17 | *** MISMATCH
 172 |   0    |  17  | -17 | *** MISMATCH
 173 |   1    |  15  | -14 | *** MISMATCH
 174 |   2    |  14  | -12 | *** MISMATCH
 175 |   3    |  12  | -9 | *** MISMATCH
 176 |   4    |  11  | -7 | *** MISMATCH
 177 |   5    |  10  | -5 | *** MISMATCH
 178 |   6    |   9  | -3 | *** MISMATCH
 180 |   9    |   6  | +3 | *** MISMATCH
 181 |  10    |   5  | +5 | *** MISMATCH
 182 |  11    |   5  | +6 | *** MISMATCH
 183 |  12    |   4  | +8 | *** MISMATCH
 184 |  14    |   3  | +11 | *** MISMATCH
 185 |  15    |   2  | +13 | *** MISMATCH
 186 |  17    |   2  | +15 | *** MISMATCH
 187 |  18    |   1  | +17 | *** MISMATCH
 188 |  20    |   1  | +19 | *** MISMATCH
 189 |  21    |   1  | +20 | *** MISMATCH
 190 |  23    |   0  | +23 | *** MISMATCH
 191 |  25    |   0  | +25 | *** MISMATCH
 192 |  27    |   0  | +27 | *** MISMATCH
 193 |  29    |   0  | +29 | *** MISMATCH
 194 |  31    |   0  | +31 | *** MISMATCH
 195 |  33    |   0  | +33 | *** MISMATCH
 196 |  35    |   0  | +35 | *** MISMATCH
 197 |  37    |   1  | +36 | *** MISMATCH
 198 |  40    |   1  | +39 | *** MISMATCH
 199 |  42    |   1  | +41 | *** MISMATCH
 200 |  44    |   2  | +42 | *** MISMATCH
 201 |  47    |   2  | +45 | *** MISMATCH
 202 |  49    |   3  | +46 | *** MISMATCH
 203 |  52    |   4  | +48 | *** MISMATCH
 204 |  54    |   5  | +49 | *** MISMATCH
 205 |  57    |   5  | +52 | *** MISMATCH
 206 |  59    |   6  | +53 | *** MISMATCH
 207 |  62    |   7  | +55 | *** MISMATCH
 208 |  65    |   9  | +56 | *** MISMATCH
 209 |  67    |  10  | +57 | *** MISMATCH
 210 |  70    |  11  | +59 | *** MISMATCH
 211 |  73    |  12  | +61 | *** MISMATCH
 212 |  76    |  14  | +62 | *** MISMATCH
 213 |  79    |  15  | +64 | *** MISMATCH
 214 |  82    |  17  | +65 | *** MISMATCH
 215 |  85    |  18  | +67 | *** MISMATCH
 216 |  88    |  20  | +68 | *** MISMATCH
 217 |  90    |  21  | +69 | *** MISMATCH
 218 |  93    |  23  | +70 | *** MISMATCH
 219 |  97    |  25  | +72 | *** MISMATCH
 220 | 100    |  27  | +73 | *** MISMATCH
 221 | 103    |  29  | +74 | *** MISMATCH
 222 | 106    |  31  | +75 | *** MISMATCH
 223 | 109    |  33  | +76 | *** MISMATCH
 224 | 112    |  35  | +77 | *** MISMATCH
 225 | 115    |  37  | +78 | *** MISMATCH
 226 | 118    |  40  | +78 | *** MISMATCH
 227 | 121    |  42  | +79 | *** MISMATCH
 228 | 124    |  44  | +80 | *** MISMATCH
 229 | 128    |  47  | +81 | *** MISMATCH
 230 | 131    |  49  | +82 | *** MISMATCH
 231 | 134    |  52  | +82 | *** MISMATCH
 232 | 137    |  54  | +83 | *** MISMATCH
 233 | 140    |  57  | +83 | *** MISMATCH
 234 | 143    |  59  | +84 | *** MISMATCH
 235 | 146    |  62  | +84 | *** MISMATCH
 236 | 149    |  65  | +84 | *** MISMATCH
 237 | 152    |  67  | +85 | *** MISMATCH
 238 | 155    |  70  | +85 | *** MISMATCH
 239 | 158    |  73  | +85 | *** MISMATCH
 240 | 162    |  76  | +86 | *** MISMATCH
 241 | 165    |  79  | +86 | *** MISMATCH
 242 | 167    |  82  | +85 | *** MISMATCH
 243 | 170    |  85  | +85 | *** MISMATCH
 244 | 173    |  88  | +85 | *** MISMATCH
 245 | 176    |  90  | +86 | *** MISMATCH
 246 | 179    |  93  | +86 | *** MISMATCH
 247 | 182    |  97  | +85 | *** MISMATCH
 248 | 185    | 100  | +85 | *** MISMATCH
 249 | 188    | 103  | +85 | *** MISMATCH
 250 | 190    | 106  | +84 | *** MISMATCH
 251 | 193    | 109  | +84 | *** MISMATCH
 252 | 196    | 112  | +84 | *** MISMATCH
 253 | 198    | 115  | +83 | *** MISMATCH
 254 | 201    | 118  | +83 | *** MISMATCH
 255 | 203    | 121  | +82 | *** MISMATCH
 256 | 206    | 124  | +82 | *** MISMATCH
 257 | 208    | 128  | +80 | *** MISMATCH
 258 | 211    | 131  | +80 | *** MISMATCH
 259 | 213    | 134  | +79 | *** MISMATCH
 260 | 215    | 137  | +78 | *** MISMATCH
 261 | 218    | 140  | +78 | *** MISMATCH
 262 | 220    | 143  | +77 | *** MISMATCH
 263 | 222    | 146  | +76 | *** MISMATCH
 264 | 224    | 149  | +75 | *** MISMATCH
 265 | 226    | 152  | +74 | *** MISMATCH
 266 | 228    | 155  | +73 | *** MISMATCH
 267 | 230    | 158  | +72 | *** MISMATCH
 268 | 232    | 162  | +70 | *** MISMATCH
 269 | 234    | 165  | +69 | *** MISMATCH
 270 | 235    | 167  | +68 | *** MISMATCH
 271 | 237    | 170  | +67 | *** MISMATCH
 272 | 238    | 173  | +65 | *** MISMATCH
 273 | 240    | 176  | +64 | *** MISMATCH
 274 | 241    | 179  | +62 | *** MISMATCH
 275 | 243    | 182  | +61 | *** MISMATCH
 276 | 244    | 185  | +59 | *** MISMATCH
 277 | 245    | 188  | +57 | *** MISMATCH
 278 | 246    | 190  | +56 | *** MISMATCH
 279 | 248    | 193  | +55 | *** MISMATCH
 280 | 249    | 196  | +53 | *** MISMATCH
 281 | 250    | 198  | +52 | *** MISMATCH
 282 | 251    | 201  | +50 | *** MISMATCH
 283 | 252    | 203  | +49 | *** MISMATCH
 284 | 253    | 206  | +47 | *** MISMATCH
 285 | 254    | 208  | +46 | *** MISMATCH
 286 | 255    | 211  | +44 | *** MISMATCH
 287 | 254    | 213  | +41 | *** MISMATCH
 288 | 253    | 215  | +38 | *** MISMATCH
 289 | 252    | 218  | +34 | *** MISMATCH
 290 | 251    | 220  | +31 | *** MISMATCH
 291 | 250    | 222  | +28 | *** MISMATCH
 292 | 249    | 224  | +25 | *** MISMATCH
 293 | 248    | 226  | +22 | *** MISMATCH
 294 | 246    | 228  | +18 | *** MISMATCH
 295 | 245    | 230  | +15 | *** MISMATCH
 296 | 244    | 232  | +12 | *** MISMATCH
 297 | 243    | 234  | +9 | *** MISMATCH
 298 | 241    | 235  | +6 | *** MISMATCH
 299 | 240    | 237  | +3 | *** MISMATCH
 301 | 237    | 240  | -3 | *** MISMATCH
 302 | 235    | 241  | -6 | *** MISMATCH
 303 | 234    | 243  | -9 | *** MISMATCH
 304 | 232    | 244  | -12 | *** MISMATCH
 305 | 230    | 245  | -15 | *** MISMATCH
 306 | 228    | 246  | -18 | *** MISMATCH
 307 | 226    | 248  | -22 | *** MISMATCH
 308 | 224    | 249  | -25 | *** MISMATCH
 309 | 222    | 250  | -28 | *** MISMATCH
 310 | 220    | 250  | -30 | *** MISMATCH
 311 | 218    | 251  | -33 | *** MISMATCH
 312 | 215    | 252  | -37 | *** MISMATCH
 313 | 213    | 253  | -40 | *** MISMATCH
 314 | 211    | 253  | -42 | *** MISMATCH
 315 | 208    | 254  | -46 | *** MISMATCH
 316 | 206    | 254  | -48 | *** MISMATCH
 317 | 203    | 254  | -51 | *** MISMATCH
 318 | 201    | 255  | -54 | *** MISMATCH
 319 | 198    | 255  | -57 | *** MISMATCH
 320 | 196    | 255  | -59 | *** MISMATCH
 321 | 193    | 255  | -62 | *** MISMATCH
 322 | 190    | 255  | -65 | *** MISMATCH
 323 | 188    | 255  | -67 | *** MISMATCH
 324 | 185    | 255  | -70 | *** MISMATCH
 325 | 182    | 254  | -72 | *** MISMATCH
 326 | 179    | 254  | -75 | *** MISMATCH
 327 | 176    | 254  | -78 | *** MISMATCH
 328 | 173    | 253  | -80 | *** MISMATCH
 329 | 170    | 253  | -83 | *** MISMATCH
 330 | 167    | 252  | -85 | *** MISMATCH
 331 | 165    | 251  | -86 | *** MISMATCH
 332 | 162    | 250  | -88 | *** MISMATCH
 333 | 158    | 250  | -92 | *** MISMATCH
 334 | 155    | 249  | -94 | *** MISMATCH
 335 | 152    | 248  | -96 | *** MISMATCH
 336 | 149    | 246  | -97 | *** MISMATCH
 337 | 146    | 245  | -99 | *** MISMATCH
 338 | 143    | 244  | -101 | *** MISMATCH
 339 | 140    | 243  | -103 | *** MISMATCH
 340 | 137    | 241  | -104 | *** MISMATCH
 341 | 134    | 240  | -106 | *** MISMATCH
 342 | 131    | 238  | -107 | *** MISMATCH
 343 | 128    | 237  | -109 | *** MISMATCH
 344 | 124    | 235  | -111 | *** MISMATCH
 345 | 121    | 234  | -113 | *** MISMATCH
 346 | 118    | 232  | -114 | *** MISMATCH
 347 | 115    | 230  | -115 | *** MISMATCH
 348 | 112    | 228  | -116 | *** MISMATCH
 349 | 109    | 226  | -117 | *** MISMATCH
 350 | 106    | 224  | -118 | *** MISMATCH
 351 | 103    | 222  | -119 | *** MISMATCH
 352 | 100    | 220  | -120 | *** MISMATCH
 353 |  97    | 218  | -121 | *** MISMATCH
 354 |  93    | 215  | -122 | *** MISMATCH
 355 |  90    | 213  | -123 | *** MISMATCH
 356 |  88    | 211  | -123 | *** MISMATCH
 357 |  85    | 208  | -123 | *** MISMATCH
 358 |  82    | 206  | -124 | *** MISMATCH
 359 |  79    | 203  | -124 | *** MISMATCH
 360 |  76    | 201  | -125 | *** MISMATCH
 361 |  73    | 198  | -125 | *** MISMATCH
 362 |  70    | 196  | -126 | *** MISMATCH
 363 |  67    | 193  | -126 | *** MISMATCH
 364 |  65    | 190  | -125 | *** MISMATCH
 365 |  62    | 188  | -126 | *** MISMATCH
 366 |  59    | 185  | -126 | *** MISMATCH
 367 |  57    | 182  | -125 | *** MISMATCH
 368 |  54    | 179  | -125 | *** MISMATCH
 369 |  52    | 176  | -124 | *** MISMATCH
 370 |  49    | 173  | -124 | *** MISMATCH
 371 |  47    | 170  | -123 | *** MISMATCH
 372 |  44    | 167  | -123 | *** MISMATCH
 373 |  42    | 165  | -123 | *** MISMATCH
 374 |  40    | 162  | -122 | *** MISMATCH
 375 |  37    | 158  | -121 | *** MISMATCH
 376 |  35    | 155  | -120 | *** MISMATCH
 377 |  33    | 152  | -119 | *** MISMATCH
 378 |  31    | 149  | -118 | *** MISMATCH
 379 |  29    | 146  | -117 | *** MISMATCH
 380 |  27    | 143  | -116 | *** MISMATCH
 381 |  25    | 140  | -115 | *** MISMATCH
 382 |  23    | 137  | -114 | *** MISMATCH
 383 |  21    | 134  | -113 | *** MISMATCH
 384 |  20    | 131  | -111 | *** MISMATCH
 385 |  18    | 128  | -110 | *** MISMATCH
 386 |  17    | 124  | -107 | *** MISMATCH
 387 |  15    | 121  | -106 | *** MISMATCH
 388 |  14    | 118  | -104 | *** MISMATCH
 389 |  12    | 115  | -103 | *** MISMATCH
 390 |  11    | 112  | -101 | *** MISMATCH
 391 |  10    | 109  | -99 | *** MISMATCH
 392 |   9    | 106  | -97 | *** MISMATCH
 393 |   7    | 103  | -96 | *** MISMATCH
 394 |   6    | 100  | -94 | *** MISMATCH
 395 |   5    |  97  | -92 | *** MISMATCH
 396 |   4    |  93  | -89 | *** MISMATCH
 397 |   3    |  90  | -87 | *** MISMATCH
 398 |   2    |  88  | -86 | *** MISMATCH
 399 |   1    |  85  | -84 | *** MISMATCH
 400 |   0    |  82  | -82 | *** MISMATCH
 401 |   1    |  79  | -78 | *** MISMATCH
 402 |   2    |  76  | -74 | *** MISMATCH
 403 |   3    |  73  | -70 | *** MISMATCH
 404 |   4    |  70  | -66 | *** MISMATCH
 405 |   5    |  67  | -62 | *** MISMATCH
 406 |   6    |  65  | -59 | *** MISMATCH
 407 |   7    |  62  | -55 | *** MISMATCH
 408 |   9    |  59  | -50 | *** MISMATCH
 409 |  10    |  57  | -47 | *** MISMATCH
 410 |  11    |  54  | -43 | *** MISMATCH
 411 |  12    |  52  | -40 | *** MISMATCH
 412 |  14    |  49  | -35 | *** MISMATCH
 413 |  15    |  47  | -32 | *** MISMATCH
 414 |  17    |  44  | -27 | *** MISMATCH
 415 |  18    |  42  | -24 | *** MISMATCH
 416 |  20    |  40  | -20 | *** MISMATCH
 417 |  21    |  37  | -16 | *** MISMATCH
 418 |  23    |  35  | -12 | *** MISMATCH
 419 |  25    |  33  | -8 | *** MISMATCH
 420 |  27    |  31  | -4 | *** MISMATCH
 422 |  31    |  27  | +4 | *** MISMATCH
 423 |  33    |  25  | +8 | *** MISMATCH
 424 |  35    |  23  | +12 | *** MISMATCH
 425 |  37    |  21  | +16 | *** MISMATCH
 426 |  40    |  20  | +20 | *** MISMATCH
 427 |  42    |  18  | +24 | *** MISMATCH
 428 |  44    |  17  | +27 | *** MISMATCH
 429 |  47    |  15  | +32 | *** MISMATCH
 430 |  49    |  14  | +35 | *** MISMATCH
 431 |  52    |  12  | +40 | *** MISMATCH
 432 |  54    |  11  | +43 | *** MISMATCH
 433 |  57    |  10  | +47 | *** MISMATCH
 434 |  59    |   9  | +50 | *** MISMATCH
 435 |  62    |   7  | +55 | *** MISMATCH
 436 |  65    |   6  | +59 | *** MISMATCH
 437 |  67    |   5  | +62 | *** MISMATCH
 438 |  70    |   5  | +65 | *** MISMATCH
 439 |  73    |   4  | +69 | *** MISMATCH
 440 |  76    |   3  | +73 | *** MISMATCH
 441 |  79    |   2  | +77 | *** MISMATCH
 442 |  82    |   2  | +80 | *** MISMATCH
 443 |  85    |   1  | +84 | *** MISMATCH
 444 |  88    |   1  | +87 | *** MISMATCH
 445 |  90    |   1  | +89 | *** MISMATCH
